"Year","CLUE_Areas","Population_CO2_tonnes","Energy_CO2_tonnes","Trees_CO2_absorbed_tonnes","Total_CO2offset_tonnes"
2020,"Melbourne (Remainder)",33.446671632,45.7350383882629,90.6672410790541,-11.4855310587912
2013,"North Melbourne",5729.115444624,41.2214693492586,6.85938911007982,5763.47752486318
2012,"North Melbourne",5393.0923794,38.3642796304968,6.85938911007982,5424.59726992042
2017,"North Melbourne",6860.577975768,54.0776075549511,6.85938911007982,6907.79619421287
2014,"North Melbourne",5982.666067224,44.4256075431406,6.85938911007982,6020.23228565706
2011,"North Melbourne",5116.933330344,33.7310544439961,6.85938911007982,5143.80499567792
2016,"North Melbourne",6664.915102824,54.2576794232494,6.85938911007982,6712.31339313717
2021,"North Melbourne",6444.278839944,56.0891048566938,6.85938911007982,6493.50855569061
2018,"North Melbourne",7065.44157132,54.9339088684505,6.85938911007982,7113.51609107837
2015,"North Melbourne",6295.293945864,49.0139924954099,6.85938911007982,6337.44854924933
2020,"North Melbourne",7264.594911816,54.319338433904,6.85938911007982,7312.05486113982
2019,"North Melbourne",7182.974792664,55.0788830050225,6.85938911007982,7231.19428655894
2012,"Parkville",2793.549498696,67.2166351747392,90.4790663844912,2770.28706748625
2013,"Parkville",2912.030266464,68.6805057303583,90.4790663844912,2890.23170580987
2011,"Parkville",2671.723439352,62.7111773343145,90.4790663844912,2643.95555030182
2016,"Parkville",3195.958571784,80.6775316890868,90.4790663844912,3186.1570370886
2017,"Parkville",3309.141196944,80.7853909347893,90.4790663844912,3299.4475214943
2014,"Parkville",3018.525430536,70.8880964665083,90.4790663844912,2998.93446061802
2015,"Parkville",3112.085883456,75.3252363785839,90.4790663844912,3096.93205345009
2020,"Parkville",3375.673941816,82.1641431505103,90.4790663844912,3367.35901858202
2021,"Parkville",3018.210102072,85.1568957445062,90.4790663844912,3012.88793143202
2018,"Parkville",3332.637850608,82.425883614856,90.4790663844912,3324.58466783837
2019,"Parkville",3356.151675624,82.9868926719435,90.4790663844912,3348.65950191145
2011,"Port Melbourne",6123.894193296,31.2774444338789,4.95344092213591,6150.21819680774
2012,"Port Melbourne",6331.011919056,32.3010309410252,4.95344092213591,6358.35950907489
2013,"Port Melbourne",6534.884259288,31.8851439611139,4.95344092213591,6561.81596232698
2014,"Port Melbourne",6698.299333176,31.8695812276362,4.95344092213591,6725.2154734815
2015,"Port Melbourne",6827.754155904,32.863575025765,4.95344092213591,6855.66429000763
2016,"Port Melbourne",6910.143863832,34.2237246741707,4.95344092213591,6939.41414758404
2017,"Port Melbourne",7001.827956288,33.7244218720419,4.95344092213591,7030.59893723791
2018,"Port Melbourne",7097.133642984,33.8874342804688,4.95344092213591,7126.06763634233
